input_number	input	input_ensg	ensg_number	ortholog_name	ortholog_ensg	description
20521	Phf13	ENSMUSG00000047777	20521.1.1	PHF13	ENSG00000116273	PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]
20522	Phf14	ENSMUSG00000029629	20522.1.1	PHF14	ENSG00000106443	PHD finger protein 14 [Source:HGNC Symbol;Acc:HGNC:22203]
20523	Phf19	ENSMUSG00000026873	20523.1.1	PHF19	ENSG00000119403	PHD finger protein 19 [Source:HGNC Symbol;Acc:HGNC:24566]
20524	Phf2	ENSMUSG00000038025	20524.1.1	PHF2	ENSG00000197724	PHD finger protein 2 [Source:HGNC Symbol;Acc:HGNC:8920]
20525	Phf20	ENSMUSG00000038116	20525.1.1	PHF20	ENSG00000025293	PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]
20526	Phf20l1	ENSMUSG00000072501	20526.1.1	PHF20L1	ENSG00000129292	PHD finger protein 20 like 1 [Source:HGNC Symbol;Acc:HGNC:24280]
20527	Phf21a	ENSMUSG00000058318	20527.1.1	PHF21A	ENSG00000135365	PHD finger protein 21A [Source:HGNC Symbol;Acc:HGNC:24156]
20528	Phf21b	ENSMUSG00000016624	20528.1.1	PHF21B	ENSG00000056487	PHD finger protein 21B [Source:HGNC Symbol;Acc:HGNC:25161]
20529	Phf23	ENSMUSG00000018572	20529.1.1	PHF23	ENSG00000040633	PHD finger protein 23 [Source:HGNC Symbol;Acc:HGNC:28428]
20530	Phf3	ENSMUSG00000048874	20530.1.1	PHF3	ENSG00000118482	PHD finger protein 3 [Source:HGNC Symbol;Acc:HGNC:8921]
20531	Phf5a	ENSMUSG00000061360	20531.1.1	PHF5A	ENSG00000100410	PHD finger protein 5A [Source:HGNC Symbol;Acc:HGNC:18000]
20533	Phf6	ENSMUSG00000025626	20533.1.1	PHF6	ENSG00000156531	PHD finger protein 6 [Source:HGNC Symbol;Acc:HGNC:18145]
20534	Phf7	ENSMUSG00000021902	20534.1.1	PHF7	ENSG00000010318	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]
20535	Phf8	ENSMUSG00000041229	20535.1.1	PHF8	ENSG00000172943	PHD finger protein 8 [Source:HGNC Symbol;Acc:HGNC:20672]
20536	Phgdh	ENSMUSG00000053398	20536.1.1	PHGDH	ENSG00000092621	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]
20539	Phip	ENSMUSG00000032253	20539.1.1	PHIP	ENSG00000146247	pleckstrin homology domain interacting protein [Source:HGNC Symbol;Acc:HGNC:15673]
20540	Phka1	ENSMUSG00000034055	20540.1.1	PHKA1	ENSG00000067177	phosphorylase kinase regulatory subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8925]
20541	Phka2	ENSMUSG00000031295	20541.1.1	PHKA2	ENSG00000044446	phosphorylase kinase regulatory subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8926]
20542	Phkb	ENSMUSG00000036879	20542.1.1	PHKB	ENSG00000102893	phosphorylase kinase regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:8927]
20543	Phkg1	ENSMUSG00000025537	20543.1.1	PHKG1	ENSG00000164776	phosphorylase kinase catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:8930]
20544	Phkg2	ENSMUSG00000030815	20544.1.1	PHKG2	ENSG00000156873	phosphorylase kinase catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:8931]
20545	Phlda1	ENSMUSG00000020205	20545.1.1	PHLDA1	ENSG00000139289	pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]
20546	Phlda2	ENSMUSG00000010760	20546.1.1	PHLDA2	ENSG00000181649	pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]
20547	Phlda3	ENSMUSG00000041801	20547.1.1	PHLDA3	ENSG00000174307	pleckstrin homology like domain family A member 3 [Source:HGNC Symbol;Acc:HGNC:8934]
20548	Phldb1	ENSMUSG00000048537	20548.1.1	PHLDB1	ENSG00000019144	pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]
20549	Phldb2	ENSMUSG00000033149	20549.1.1	PHLDB2	ENSG00000144824	pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573]
20550	Phldb3	ENSMUSG00000074277	20550.1.1	PHLDB3	ENSG00000176531	pleckstrin homology like domain family B member 3 [Source:HGNC Symbol;Acc:HGNC:30499]
20551	Phlpp1	ENSMUSG00000044340	20551.1.1	PHLPP1	ENSG00000081913	PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610]
20552	Phlpp2	ENSMUSG00000031732	20552.1.1	PHLPP2	ENSG00000040199	PH domain and leucine rich repeat protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:29149]
20553	Phospho1	ENSMUSG00000050860	20553.1.1	PHOSPHO1	ENSG00000173868	phosphoethanolamine/phosphocholine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:16815]
20554	Phospho2	ENSMUSG00000027088	20554.1.1	PHOSPHO2	ENSG00000144362	phosphatase, orphan 2 [Source:HGNC Symbol;Acc:HGNC:28316]
20555	Phox2a	ENSMUSG00000007946	20555.1.1	PHOX2A	ENSG00000165462	paired like homeobox 2A [Source:HGNC Symbol;Acc:HGNC:691]
20557	Phpt1	ENSMUSG00000036504	20557.1.1	PHPT1	ENSG00000054148	phosphohistidine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30033]
20558	Phrf1	ENSMUSG00000038611	20558.1.1	PHRF1	ENSG00000070047	PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]
20559	Phtf1	ENSMUSG00000058388	20559.1.1	PHTF1	ENSG00000116793	putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
20561	Phtf2	ENSMUSG00000039987	20561.1.1	PHTF2	ENSG00000006576	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]
20563	Phyh	ENSMUSG00000026664	20563.1.1	PHYH	ENSG00000107537	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]
20564	Phyhd1	ENSMUSG00000079484	20564.1.1	PHYHD1	ENSG00000175287	phytanoyl-CoA dioxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23396]
20565	Phyhip	ENSMUSG00000003469	20565.1.1	PHYHIP	ENSG00000168490	phytanoyl-CoA 2-hydroxylase interacting protein [Source:HGNC Symbol;Acc:HGNC:16865]
20567	Phykpl	ENSMUSG00000020359	20567.1.1	PHYKPL	ENSG00000175309	5-phosphohydroxy-L-lysine phospho-lyase [Source:HGNC Symbol;Acc:HGNC:28249]
20568	Pi15	ENSMUSG00000067780	20568.1.1	PI15	ENSG00000137558	peptidase inhibitor 15 [Source:HGNC Symbol;Acc:HGNC:8946]
20569	Pi16	ENSMUSG00000024011	20569.1.1	PI16	ENSG00000164530	peptidase inhibitor 16 [Source:HGNC Symbol;Acc:HGNC:21245]
20570	Pi4k2a	ENSMUSG00000025178	20570.1.1	PI4K2A	ENSG00000155252	phosphatidylinositol 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:30031]
20571	Pi4k2b	ENSMUSG00000029186	20571.1.1	PI4K2B	ENSG00000038210	phosphatidylinositol 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:18215]
20572	Pi4ka	ENSMUSG00000041720	20572.1.1	PI4KA	ENSG00000241973	phosphatidylinositol 4-kinase alpha [Source:HGNC Symbol;Acc:HGNC:8983]
20573	Pi4kb	ENSMUSG00000038861	20573.1.1	PI4KB	ENSG00000143393	phosphatidylinositol 4-kinase beta [Source:HGNC Symbol;Acc:HGNC:8984]
20574	Pianp	ENSMUSG00000030329	20574.1.1	PIANP	ENSG00000139200	PILR alpha associated neural protein [Source:HGNC Symbol;Acc:HGNC:25338]
20575	Pias1	ENSMUSG00000032405	20575.1.1	PIAS1	ENSG00000033800	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]
20576	Pias2	ENSMUSG00000025423	20576.1.1	PIAS2	ENSG00000078043	protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]
20577	Pias3	ENSMUSG00000028101	20577.1.1	PIAS3	ENSG00000131788	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]
20578	Pias4	ENSMUSG00000004934	20578.1.1	PIAS4	ENSG00000105229	protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]
20579	Pibf1	ENSMUSG00000022064	20579.1.1	PIBF1	ENSG00000083535	progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]
20580	Picalm	ENSMUSG00000039361	20580.1.1	PICALM	ENSG00000073921	phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514]
20581	Pick1	ENSMUSG00000068206	20581.1.1	PICK1	ENSG00000100151	protein interacting with PRKCA 1 [Source:HGNC Symbol;Acc:HGNC:9394]
20582	Pid1	ENSMUSG00000045658	20582.1.1	PID1	ENSG00000153823	phosphotyrosine interaction domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26084]
20583	Pidd1	ENSMUSG00000025507	20583.1.1	PIDD1	ENSG00000177595	p53-induced death domain protein 1 [Source:HGNC Symbol;Acc:HGNC:16491]
20584	Piezo1	ENSMUSG00000014444	20584.1.1	PIEZO1	ENSG00000103335	piezo type mechanosensitive ion channel component 1 [Source:HGNC Symbol;Acc:HGNC:28993]
20585	Piezo2	ENSMUSG00000041482	20585.1.1	PIEZO2	ENSG00000154864	piezo type mechanosensitive ion channel component 2 [Source:HGNC Symbol;Acc:HGNC:26270]
20586	Pif1	ENSMUSG00000041064	20586.1.1	PIF1	ENSG00000140451	PIF1 5'-to-3' DNA helicase [Source:HGNC Symbol;Acc:HGNC:26220]
20588	Piga	ENSMUSG00000031381	20588.1.1	PIGA	ENSG00000165195	phosphatidylinositol glycan anchor biosynthesis class A [Source:HGNC Symbol;Acc:HGNC:8957]
20589	Pigb	ENSMUSG00000079469	20589.1.1	PIGB	ENSG00000069943	phosphatidylinositol glycan anchor biosynthesis class B [Source:HGNC Symbol;Acc:HGNC:8959]
20590	Pigc	ENSMUSG00000026698	20590.1.1	PIGC	ENSG00000135845	phosphatidylinositol glycan anchor biosynthesis class C [Source:HGNC Symbol;Acc:HGNC:8960]
20591	Pigf	ENSMUSG00000024145	20591.1.1	PIGF	ENSG00000151665	phosphatidylinositol glycan anchor biosynthesis class F [Source:HGNC Symbol;Acc:HGNC:8962]
20592	Pigg	ENSMUSG00000029263	20592.1.1	PIGG	ENSG00000174227	phosphatidylinositol glycan anchor biosynthesis class G [Source:HGNC Symbol;Acc:HGNC:25985]
20593	Pigh	ENSMUSG00000021120	20593.1.1	PIGH	ENSG00000100564	phosphatidylinositol glycan anchor biosynthesis class H [Source:HGNC Symbol;Acc:HGNC:8964]
20594	Pigk	ENSMUSG00000039047	20594.1.1	PIGK	ENSG00000142892	phosphatidylinositol glycan anchor biosynthesis class K [Source:HGNC Symbol;Acc:HGNC:8965]
20595	Pigl	ENSMUSG00000014245	20595.1.1	PIGL	ENSG00000108474	phosphatidylinositol glycan anchor biosynthesis class L [Source:HGNC Symbol;Acc:HGNC:8966]
20596	Pigm	ENSMUSG00000050229	20596.1.1	PIGM	ENSG00000143315	phosphatidylinositol glycan anchor biosynthesis class M [Source:HGNC Symbol;Acc:HGNC:18858]
20597	Pign	ENSMUSG00000056536	20597.1.1	PIGN	ENSG00000197563	phosphatidylinositol glycan anchor biosynthesis class N [Source:HGNC Symbol;Acc:HGNC:8967]
20598	Pigo	ENSMUSG00000028454	20598.1.1	PIGO	ENSG00000165282	phosphatidylinositol glycan anchor biosynthesis class O [Source:HGNC Symbol;Acc:HGNC:23215]
20599	Pigp	ENSMUSG00000022940	20599.1.1	PIGP	ENSG00000185808	phosphatidylinositol glycan anchor biosynthesis class P [Source:HGNC Symbol;Acc:HGNC:3046]
20600	Pigq	ENSMUSG00000025728	20600.1.1	PIGQ	ENSG00000007541	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]
20601	Pigr	ENSMUSG00000026417	20601.1.1	PIGR	ENSG00000162896	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]
20602	Pigs	ENSMUSG00000041958	20602.1.1	PIGS	ENSG00000087111	phosphatidylinositol glycan anchor biosynthesis class S [Source:HGNC Symbol;Acc:HGNC:14937]
20603	Pigt	ENSMUSG00000017721	20603.1.1	PIGT	ENSG00000124155	phosphatidylinositol glycan anchor biosynthesis class T [Source:HGNC Symbol;Acc:HGNC:14938]
20604	Pigu	ENSMUSG00000038383	20604.1.1	PIGU	ENSG00000101464	phosphatidylinositol glycan anchor biosynthesis class U [Source:HGNC Symbol;Acc:HGNC:15791]
20605	Pigv	ENSMUSG00000043257	20605.1.1	PIGV	ENSG00000060642	phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]
20606	Pigw	ENSMUSG00000045140	20606.1.1	PIGW	ENSG00000277161	phosphatidylinositol glycan anchor biosynthesis class W [Source:HGNC Symbol;Acc:HGNC:23213]
20607	Pigx	ENSMUSG00000023791	20607.1.1	PIGX	ENSG00000163964	phosphatidylinositol glycan anchor biosynthesis class X [Source:HGNC Symbol;Acc:HGNC:26046]
20610	Pih1d1	ENSMUSG00000003423	20610.1.1	PIH1D1	ENSG00000104872	PIH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26075]
20611	Pih1d2	ENSMUSG00000000167	20611.1.1	PIH1D2	ENSG00000150773	PIH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25210]
20612	Pik3ap1	ENSMUSG00000025017	20612.1.1	PIK3AP1	ENSG00000155629	phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30034]
20613	Pik3c2a	ENSMUSG00000030660	20613.1.1	PIK3C2A	ENSG00000011405	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971]
20614	Pik3c2b	ENSMUSG00000026447	20614.1.1	PIK3C2B	ENSG00000133056	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972]
20615	Pik3c2g	ENSMUSG00000030228	20615.1.1	PIK3C2G	ENSG00000139144	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma [Source:HGNC Symbol;Acc:HGNC:8973]
20616	Pik3c3	ENSMUSG00000033628	20616.1.1	PIK3C3	ENSG00000078142	phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]
20617	Pik3ca	ENSMUSG00000027665	20617.1.1	PIK3CA	ENSG00000121879	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]
20618	Pik3cb	ENSMUSG00000032462	20618.1.1	PIK3CB	ENSG00000051382	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]
20619	Pik3cd	ENSMUSG00000039936	20619.1.1	PIK3CD	ENSG00000171608	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]
20620	Pik3cg	ENSMUSG00000020573	20620.1.1	PIK3CG	ENSG00000105851	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]
20621	Pik3ip1	ENSMUSG00000034614	20621.1.1	PIK3IP1	ENSG00000100100	phosphoinositide-3-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24942]
20622	Pik3r1	ENSMUSG00000041417	20622.1.1	PIK3R1	ENSG00000145675	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]
20623	Pik3r2	ENSMUSG00000031834	20623.1.1	PIK3R2	ENSG00000105647	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]
20624	Pik3r3	ENSMUSG00000028698	20624.1.1	PIK3R3	ENSG00000117461	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]
20625	Pik3r4	ENSMUSG00000032571	20625.1.1	PIK3R4	ENSG00000196455	phosphoinositide-3-kinase regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:8982]
20626	Pik3r5	ENSMUSG00000020901	20626.1.1	PIK3R5	ENSG00000141506	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]
20627	Pik3r6	ENSMUSG00000046207	20627.1.1	PIK3R6	ENSG00000276231	phosphoinositide-3-kinase regulatory subunit 6 [Source:HGNC Symbol;Acc:HGNC:27101]
20628	Pikfyve	ENSMUSG00000025949	20628.1.1	PIKFYVE	ENSG00000115020	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]
20632	Pim1	ENSMUSG00000024014	20632.1.1	PIM1	ENSG00000137193	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]
20633	Pim2	ENSMUSG00000031155	20633.1.1	PIM2	ENSG00000102096	Pim-2 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8987]
20634	Pim3	ENSMUSG00000035828	20634.1.1	PIM3	ENSG00000198355	Pim-3 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:19310]
20637	Pin4	ENSMUSG00000079480	20637.1.1	PIN4	ENSG00000102309	peptidylprolyl cis/trans isomerase, NIMA-interacting 4 [Source:HGNC Symbol;Acc:HGNC:8992]
20639	Pink1	ENSMUSG00000028756	20639.1.1	PINK1	ENSG00000158828	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]
20640	Pinlyp	ENSMUSG00000011632	20640.1.1	PINLYP	ENSG00000234465	phospholipase A2 inhibitor and LY6/PLAUR domain containing [Source:HGNC Symbol;Acc:HGNC:44206]
20641	Pinx1	ENSMUSG00000021958	20641.1.1	PINX1	ENSG00000254093	PIN2 (TERF1) interacting telomerase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30046]
20643	Pip4k2a	ENSMUSG00000026737	20643.1.1	PIP4K2A	ENSG00000150867	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8997]
20644	Pip4k2b	ENSMUSG00000018547	20644.1.1	PIP4K2B	ENSG00000276293	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]
20645	Pip4k2c	ENSMUSG00000025417	20645.1.1	PIP4K2C	ENSG00000166908	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]
20646	Pip5k1a	ENSMUSG00000028126	20646.1.1	PIP5K1A	ENSG00000143398	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [Source:HGNC Symbol;Acc:HGNC:8994]
20647	Pip5k1b	ENSMUSG00000024867	20647.1.1	PIP5K1B	ENSG00000107242	phosphatidylinositol-4-phosphate 5-kinase type 1 beta [Source:HGNC Symbol;Acc:HGNC:8995]
20648	Pip5k1c	ENSMUSG00000034902	20648.1.1	PIP5K1C	ENSG00000186111	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]
20649	Pip5kl1	ENSMUSG00000046854	20649.1.1	PIP5KL1	ENSG00000167103	phosphatidylinositol-4-phosphate 5-kinase like 1 [Source:HGNC Symbol;Acc:HGNC:28711]
20650	Pipox	ENSMUSG00000017453	20650.1.1	PIPOX	ENSG00000179761	pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804]
20651	Pir	ENSMUSG00000031379	20651.1.1	PIR	ENSG00000087842	pirin [Source:HGNC Symbol;Acc:HGNC:30048]
20655	Pirt	ENSMUSG00000048070	20655.1.1	PIRT	ENSG00000233670	phosphoinositide interacting regulator of transient receptor potential channels [Source:HGNC Symbol;Acc:HGNC:37239]
20656	Pisd	ENSMUSG00000023452	20656.1.1	PISD	ENSG00000241878	phosphatidylserine decarboxylase [Source:HGNC Symbol;Acc:HGNC:8999]
20659	Pithd1	ENSMUSG00000028669	20659.1.1	PITHD1	ENSG00000057757	PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022]
20660	Pitpna	ENSMUSG00000017781	20660.1.1	PITPNA	ENSG00000174238	phosphatidylinositol transfer protein alpha [Source:HGNC Symbol;Acc:HGNC:9001]
20661	Pitpnb	ENSMUSG00000050017	20661.1.1	PITPNB	ENSG00000180957	phosphatidylinositol transfer protein beta [Source:HGNC Symbol;Acc:HGNC:9002]
20662	Pitpnc1	ENSMUSG00000040430	20662.1.1	PITPNC1	ENSG00000154217	phosphatidylinositol transfer protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]
20663	Pitpnm1	ENSMUSG00000024851	20663.1.1	PITPNM1	ENSG00000110697	phosphatidylinositol transfer protein membrane associated 1 [Source:HGNC Symbol;Acc:HGNC:9003]
20664	Pitpnm2	ENSMUSG00000029406	20664.1.1	PITPNM2	ENSG00000090975	phosphatidylinositol transfer protein membrane associated 2 [Source:HGNC Symbol;Acc:HGNC:21044]
20666	Pitpnm3	ENSMUSG00000040543	20666.1.1	PITPNM3	ENSG00000091622	PITPNM family member 3 [Source:HGNC Symbol;Acc:HGNC:21043]
20667	Pitrm1	ENSMUSG00000021193	20667.1.1	PITRM1	ENSG00000107959	pitrilysin metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:17663]
20668	Pitx1	ENSMUSG00000021506	20668.1.1	PITX1	ENSG00000069011	paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004]
20671	Piwil1	ENSMUSG00000029423	20671.1.1	PIWIL1	ENSG00000125207	piwi like RNA-mediated gene silencing 1 [Source:HGNC Symbol;Acc:HGNC:9007]
20672	Piwil2	ENSMUSG00000033644	20672.1.1	PIWIL2	ENSG00000197181	piwi like RNA-mediated gene silencing 2 [Source:HGNC Symbol;Acc:HGNC:17644]
20673	Piwil4	ENSMUSG00000036912	20673.1.1	PIWIL4	ENSG00000134627	piwi like RNA-mediated gene silencing 4 [Source:HGNC Symbol;Acc:HGNC:18444]
20674	Pja1	ENSMUSG00000034403	20674.1.1	PJA1	ENSG00000181191	praja ring finger ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:16648]
20675	Pja2	ENSMUSG00000024083	20675.1.1	PJA2	ENSG00000198961	praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]
20676	Pkd1	ENSMUSG00000032855	20676.1.1	PKD1	ENSG00000008710	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]
20677	Pkd1l1	ENSMUSG00000046634	20677.1.1	PKD1L1	ENSG00000158683	polycystin 1 like 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:18053]
20679	Pkd1l3	ENSMUSG00000048827	20679.1.1	PKD1L3	ENSG00000277481	polycystin 1 like 3, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:21716]
20680	Pkd2	ENSMUSG00000034462	20680.1.1	PKD2	ENSG00000118762	polycystin 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9009]
20681	Pkd2l1	ENSMUSG00000037578	20681.1.1	PKD2L1	ENSG00000107593	polycystin 2 like 1, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9011]
20682	Pkd2l2	ENSMUSG00000014503	20682.1.1	PKD2L2	ENSG00000078795	polycystin 2 like 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9012]
20683	Pkdcc	ENSMUSG00000024247	20683.1.1	PKDCC	ENSG00000162878	protein kinase domain containing, cytoplasmic [Source:HGNC Symbol;Acc:HGNC:25123]
20684	Pkdrej	ENSMUSG00000052496	20684.1.1	PKDREJ	ENSG00000130943	polycystin family receptor for egg jelly [Source:HGNC Symbol;Acc:HGNC:9015]
20685	Pkhd1	ENSMUSG00000043760	20685.1.1	PKHD1	ENSG00000170927	PKHD1 ciliary IPT domain containing fibrocystin/polyductin [Source:HGNC Symbol;Acc:HGNC:9016]
20686	Pkhd1l1	ENSMUSG00000038725	20686.1.1	PKHD1L1	ENSG00000205038	PKHD1 like 1 [Source:HGNC Symbol;Acc:HGNC:20313]
20687	Pkia	ENSMUSG00000027499	20687.1.1	PKIA	ENSG00000171033	cAMP-dependent protein kinase inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:9017]
20688	Pkib	ENSMUSG00000019876	20688.1.1	PKIB	ENSG00000135549	cAMP-dependent protein kinase inhibitor beta [Source:HGNC Symbol;Acc:HGNC:9018]
20689	Pkig	ENSMUSG00000035268	20689.1.1	PKIG	ENSG00000168734	cAMP-dependent protein kinase inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:9019]
20690	Pklr	ENSMUSG00000041237	20690.1.1	PKLR	ENSG00000143627	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]
20691	Pkm	ENSMUSG00000032294	20691.1.1	PKM	ENSG00000067225	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]
20692	Pkmyt1	ENSMUSG00000023908	20692.1.1	PKMYT1	ENSG00000127564	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]
20693	Pkn1	ENSMUSG00000057672	20693.1.1	PKN1	ENSG00000123143	protein kinase N1 [Source:HGNC Symbol;Acc:HGNC:9405]
20694	Pkn2	ENSMUSG00000004591	20694.1.1	PKN2	ENSG00000065243	protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]
20695	Pkn3	ENSMUSG00000026785	20695.1.1	PKN3	ENSG00000160447	protein kinase N3 [Source:HGNC Symbol;Acc:HGNC:17999]
20696	Pknox1	ENSMUSG00000006705	20696.1.1	PKNOX1	ENSG00000160199	PBX/knotted 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9022]
20697	Pknox2	ENSMUSG00000035934	20697.1.1	PKNOX2	ENSG00000165495	PBX/knotted 1 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:16714]
20698	Pkp1	ENSMUSG00000026413	20698.1.1	PKP1	ENSG00000081277	plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]
20699	Pkp2	ENSMUSG00000041957	20699.1.1	PKP2	ENSG00000057294	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]
20700	Pkp3	ENSMUSG00000054065	20700.1.1	PKP3	ENSG00000184363	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]
20701	Pkp4	ENSMUSG00000026991	20701.1.1	PKP4	ENSG00000144283	plakophilin 4 [Source:HGNC Symbol;Acc:HGNC:9026]
20702	Pla1a	ENSMUSG00000002847	20702.1.1	PLA1A	ENSG00000144837	phospholipase A1 member A [Source:HGNC Symbol;Acc:HGNC:17661]
20703	Pla2g10	ENSMUSG00000022683	20703.1.1	PLA2G10	ENSG00000069764	phospholipase A2 group X [Source:HGNC Symbol;Acc:HGNC:9029]
20705	Pla2g12a	ENSMUSG00000027999	20705.1.1	PLA2G12A	ENSG00000123739	phospholipase A2 group XIIA [Source:HGNC Symbol;Acc:HGNC:18554]
